 --- https://soundcloud.com/epicish/conceited-fool/s-MSlVm, Playcount: 0
Camille Saint-Saëns - Danse Macabre --- https://www.youtube.com/watch?v=YyknBTm_YyM, Playcount: 0
Captain and Cruise Ships - Owl City --- https://www.youtube.com/watch?v=JB7HqMXO5Jk, Playcount: 0
Castle of Glass Official Video - Linkin Park --- https://www.youtube.com/watch?v=ScNNfyq3d_w, Playcount: 0
Cecilia Bartoli, Mozart, Laudate dominum --- https://www.youtube.com/watch?v=hQS7_xhREKk, Playcount: 0
Chance The Rapper - Cocoa Butter Kisses feat. Vic Mensa and Twista --- https://www.youtube.com/watch?v=TErySTMbFlk, Playcount: 0
Childish Gambino - Freaks and Geeks HD Music Video --- https://www.youtube.com/watch?v=27d138zhyZQ, Playcount: 0
China All The Time Donald Trump Bombs Away Remix --- https://www.youtube.com/watch?v=UEwkbxXDiJY, Playcount: 0
Chiodos - Baby, You Wouldnt Last A Minute On The Creek + LYRICS --- https://www.youtube.com/watch?v=fWIBZKORv0Y, Playcount: 0
Chiodos - The Undertakers Thirst For Revenge Is Unquenchable. The Final Battle --- https://www.youtube.com/watch?v=J3blK9KpDmw, Playcount: 1
Chris Brown - Dont Wake Me Up --- https://www.youtube.com/watch?v=QOowQeKyNkQ, Playcount: 0
Christina Perri - Jar of Hearts Official Music Video --- https://www.youtube.com/watch?v=8v_4O44sfjM, Playcount: 0
Chubbs  Happy Gilmore Weve only Just Begun --- https://www.youtube.com/watch?v=lkjXcRLNZHQ, Playcount: 0
Coldplay - The Scientist --- https://www.youtube.com/watch?v=RB-RcX5DS5A, Playcount: 1
Concerning Hobbits from The Lord of the Rings - Violin Cover Taylor Davis --- https://www.youtube.com/watch?v=gmn7QFvIwDM, Playcount: 1
Crawling Official Video - Linkin Park --- https://www.youtube.com/watch?v=Gd9OhYroLN0, Playcount: 0
D City Rock - We are Angels Anarchy --- https://www.youtube.com/watch?v=5KN0_-HgWNo, Playcount: 0
Danrell & Alec King - Visions --- https://www.youtube.com/watch?v=bRpYr5Hd9Hw, Playcount: 1
Deadmau5 ft. Gerard Way - Professional Griefers lyrics --- https://www.youtube.com/watch?v=S9rrusMnwxQ, Playcount: 0
Deez Nuts Remix - Bombs Away --- https://www.youtube.com/watch?v=cBAtcGCksso, Playcount: 1
Delfino Plaza - Super Mario Sunshine --- https://www.youtube.com/watch?v=dcSPK5yn9K8, Playcount: 0
Delilah  -  Tom Jones   with lyrics    fhe estoque  --- https://www.youtube.com/watch?v=2FCiyeyuF0g, Playcount: 0
DELILAH - TOM JONES  with lyrics  --- https://www.youtube.com/watch?v=icTSPpyub4g, Playcount: 0
Desiigner- Panda OFFICIAL SONG Prod. By: Menace --- https://www.youtube.com/watch?v=lsJLLEwUYZM, Playcount: 0
Diplo ft. Nicky Da B - Express Yourself Official Music Video --- https://www.youtube.com/watch?v=eF1lU-CrQfc, Playcount: 0
Disclosure - You & Me Flume Remix --- https://www.youtube.com/watch?v=OUkkaqSNduU&index=38&list=RDMMBB0DU4DoPP4, Playcount: 0
DMX Where the Hood At Uncensored --- https://www.youtube.com/watch?v=IIeSGUK-Lyo, Playcount: 1
Doctor P - Big Boss --- https://www.youtube.com/watch?v=YmCe3fg7B4w, Playcount: 0
Doctor P - Flying Spaghetti Monster --- https://www.youtube.com/watch?v=KvkUY2LZ5uc, Playcount: 0
Doctor P - Going Gorillas --- https://www.youtube.com/watch?v=3Zp5xfD0LHE, Playcount: 0
Dora the Explorer: Im the Map Trap/Club Remix! | CHILD HOOD REMIXES #4 --- https://www.youtube.com/watch?v=VdQcdfd0Fec, Playcount: 0
Dragonforce - Black Fire --- https://www.youtube.com/watch?v=iBN1rAE8sdo, Playcount: 1
DragonForce - Ring of Fire cover --- https://www.youtube.com/watch?v=T8zU8paFops, Playcount: 1
DragonForce - Through The Fire And Flames Video --- https://www.youtube.com/watch?v=0jgrCKhxE1s, Playcount: 0
Drake - 0 to 100 / The Catch Up Explicit. --- https://www.youtube.com/watch?v=I2bBZvSPpOo&list=PLddSkUxmPEC9_beNXJV03PAlTawp2d6d_, Playcount: 0
Drake - Headlines Explicit --- https://www.youtube.com/watch?v=cimoNqiulUE, Playcount: 1
Drake - Over Explicit --- https://www.youtube.com/watch?v=JR9jZypaNms, Playcount: 0
Drake - Started From The Bottom Explicit --- https://www.youtube.com/watch?v=RubBzkZzpUA, Playcount: 0
Drake and Future - Jumpman --- https://www.youtube.com/watch?v=EhEVUgSn1Ps, Playcount: 0
Drake Best I Ever Had Official Video UNCENSORED --- https://www.youtube.com/watch?v=KbjaLGsOHaE, Playcount: 0
Dressed Up To Undress - Breathe Carolina  Lyrics in Description --- https://www.youtube.com/watch?v=c1Ao1iqHLGM, Playcount: 1
DVBBS & Borgeous - TSUNAMI Original Mix --- www.youtube.com/watch?v=0EWbonj7f18, Playcount: 1
Earl Sweatshirt - EARL Lyrics On Screen --- https://www.youtube.com/watch?v=xXTJzN1_jsk, Playcount: 0
EatmeWhileImHot! - Mother May I - lyrics --- https://www.youtube.com/watch?v=jatzV3ASo7g, Playcount: 0
Ed Sheeran - Shape Of You // Launchpad Cover/Remix --- https://www.youtube.com/watch?v=lekfZs1jJH0, Playcount: 0
Ed Sheeran - Shape of you Lyrics --- https://www.youtube.com/watch?v=Tj0xMiFWfsQ, Playcount: 0
Electro SwingI Wanna Be Like You Sim Gretina Remix --- https://www.youtube.com/watch?v=d1vQMIisJuc&index=2&list=PL_bb-PXLflw9xb96FBTxTln3mYWRkNqlQ, Playcount: 0
Eminem - Cinderella Man LYRICS HD --- https://www.youtube.com/watch?v=cjddzkJ7GpM, Playcount: 0
Eminem - Mockingbird --- https://www.youtube.com/watch?v=S9bCLPwzSC0, Playcount: 0
Eminem - Moms Spaghetti Music Video --- https://www.youtube.com/watch?v=SW-BU6keEUw, Playcount: 0
Eminem - My Mom Lyrics --- https://www.youtube.com/watch?v=v3j2DwztCFU, Playcount: 0
Eminem - My Name Is --- https://www.youtube.com/watch?v=sNPnbI1arSE, Playcount: 0
Eminem - Sing For The Moment Uncensored, HD + Lyrics --- https://www.youtube.com/watch?v=MxWP8-50Le8, Playcount: 0
Eminem - Space Bound --- https://www.youtube.com/watch?v=JByDbPn6A1o, Playcount: 0
Eminem - The Real Slim Shady Lyrics HD & HQ --- https://www.youtube.com/watch?v=l7KEuKKuuas, Playcount: 0
Eminem - Till I Collapse HD --- https://www.youtube.com/watch?v=ytQ5CYE1VZw, Playcount: 0
Eminem - When Im Gone --- https://www.youtube.com/watch?v=1wYNFfgrXTI, Playcount: 0
Eminem - Without Me --- https://www.youtube.com/watch?v=YVkUvmDQ3HY, Playcount: 0
Eminem I Think My Dads Gone Crazy --- https://www.youtube.com/watch?v=8-ndPr0fwJQ, Playcount: 0
Enrique Iglesias - Bailamos --- https://www.youtube.com/watch?v=Pv0PAchVGCw, Playcount: 1
Expialidocious | Pogo --- https://www.youtube.com/watch?v=3Za-V_lhwGg, Playcount: 0
Eyes Set To Kill - Heights --- https://www.youtube.com/watch?v=NzMYriIz0Uc, Playcount: 0
Faded vs. Closer Mashup - Alan Walker, The Chainsmokers & Halsey By Earlvin14 --- https://www.youtube.com/watch?v=mlmpVkhV0X4, Playcount: 0
Faint Official Video - Linkin Park --- https://www.youtube.com/watch?v=LYU-8IFcDPw, Playcount: 0
