[14.122247696] 2019-11-10 15:47:50,584 - INFO - launcher: Starting sanity checks
[14.498472214] 2019-11-10 15:47:50,584 - INFO - launcher: Checking for python 3.5+
[14.725446701] 2019-11-10 15:47:50,585 - INFO - launcher: Checking console encoding
[14.950275421] 2019-11-10 15:47:50,585 - INFO - launcher: Ensuring we're in the right folder
[15.424489975] 2019-11-10 15:47:50,585 - INFO - launcher: Checks passed.
[15.666484833] 2019-11-10 15:47:50,586 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[3.5129683017730713] 2019-11-10 15:47:54,083 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 60 in _execute: [SQL] [EXECUTE] SELECT SONG.* FROM SONG INNER JOIN USER_SONG ON USER_SONG.URL = SONG.URL WHERE USER_SONG.ID = %s
[3.5134034156799316] 2019-11-10 15:47:54,083 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 61 in _execute: [VALUES] [EXECUTE] ['245028070996574209']
[3.5168833732604980] 2019-11-10 15:47:54,087 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 963 in on_player_finished_playing: Cryss#9012
[3.5172960758209229] 2019-11-10 15:47:54,087 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 994 in on_player_finished_playing: Sam Smith - How Do You Sleep? (Official Video)
[3.5234906673431396] 2019-11-10 15:47:54,093 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 885 in on_player_stop: Running on_player_stop
[4.6271717548370361] 2019-11-10 15:47:55,197 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 1096 in on_player_finished_playing: Nothing playing
[4.6277170181274414] 2019-11-10 15:47:55,198 - INFO - musicbot.bot | In bot.py::MainThread(140410628687680), line 1101 in on_player_finished_playing: Stored song volume: 0.15
[4.6461100578308105] 2019-11-10 15:47:55,216 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 356 in _song_read: [SQL] [SONG] SELECT * FROM SONG WHERE URL = %s
[4.6465134620666504] 2019-11-10 15:47:55,216 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 358 in _song_read: [VALUES] [SONG] ('https://www.youtube.com/watch?v=PmYypVozQb4',)
[4.6478281021118164] 2019-11-10 15:47:55,218 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 360 in _song_read: [ROWS_AFFECTED] 1
[4.6655969619750977] 2019-11-10 15:47:55,235 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 440 in user_read: [SQL] [USER] SELECT * FROM USER WHERE ID = %s
[4.6659786701202393] 2019-11-10 15:47:55,236 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 442 in user_read: [VALUES] [USER] ('181268300301336576',)
[4.6844840049743652] 2019-11-10 15:47:55,254 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 522 in user_song_read: [SQL] [USER_SONG] SELECT * FROM USER_SONG WHERE ID = %s AND URL = %s
[4.6848728656768799] 2019-11-10 15:47:55,255 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 524 in user_song_read: [VALUES] [USER_SONG] ('181268300301336576', 'https://www.youtube.com/watch?v=PmYypVozQb4')
[4.6861376762390137] 2019-11-10 15:47:55,256 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 526 in user_song_read: [ROWS_AFFECTED] 0
[4.6865952014923096] 2019-11-10 15:47:55,256 - WARNING - musicbot.bot | In bot.py::MainThread(140410628687680), line 2352 in _add_entry: [_ADD_ENTRY] User Jadedtdt doesn't like this song Sam Smith - How Do You Sleep? (Official Video)
[4.6869590282440186] 2019-11-10 15:47:55,257 - WARNING - musicbot.bot | In bot.py::MainThread(140410628687680), line 2353 in _add_entry: [_ADD_ENTRY] Results None
[4.7046203613281250] 2019-11-10 15:47:55,275 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 440 in user_read: [SQL] [USER] SELECT * FROM USER WHERE ID = %s
[4.7050008773803711] 2019-11-10 15:47:55,275 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 442 in user_read: [VALUES] [USER] ('245028070996574209',)
[4.7235920429229736] 2019-11-10 15:47:55,293 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 522 in user_song_read: [SQL] [USER_SONG] SELECT * FROM USER_SONG WHERE ID = %s AND URL = %s
